35.38s of 37.98s total (93.15%)
Dropped 151 nodes (cum <= 0.19s)
      flat  flat%   sum%        cum   cum%
     0.07s  0.18% 91.34%      0.54s  1.42%  fmt.(*pp).fmtString
     0.07s  0.18% 91.52%      0.56s  1.47%  runtime.chansend
     0.06s  0.16% 91.68%      1.02s  2.69%  runtime.rawstringtmp
     0.06s  0.16% 91.84%      0.29s  0.76%  runtime.sweepone
     0.05s  0.13% 91.97%      2.11s  5.56%  github.com/Scalu/sortablechallenge/binaryTree.(*intOperationManager).GetValueString
     0.05s  0.13% 92.10%      2.13s  5.61%  runtime.runqgrab
     0.04s  0.11% 92.21%      0.78s  2.05%  runtime.(*mcache).refill
     0.04s  0.11% 92.31%      0.45s  1.18%  runtime.chanrecv
     0.04s  0.11% 92.42%      0.26s  0.68%  runtime.gcmarknewobject
     0.03s 0.079% 92.50%      1.23s  3.24%  github.com/Scalu/sortablechallenge/binaryTree.btpDelete.func3
     0.03s 0.079% 92.58%     24.80s 65.30%  github.com/Scalu/sortablechallenge/binaryTree.btpRebalanceIfNecessary.func1
     0.03s 0.079% 92.65%      0.24s  0.63%  runtime.(*mspan).sweep
     0.03s 0.079% 92.73%      1.86s  4.90%  runtime.gcDrainN
     0.03s 0.079% 92.81%      2.47s  6.50%  runtime.mcall
     0.03s 0.079% 92.89%      2.16s  5.69%  runtime.runqsteal
     0.03s 0.079% 92.97%      2.58s  6.79%  runtime.schedule
     0.02s 0.053% 93.02%      0.22s  0.58%  runtime.(*mheap).alloc_m
     0.01s 0.026% 93.05%      1.16s  3.05%  github.com/Scalu/sortablechallenge/binaryTree.(*IntTree).InsertValue
     0.01s 0.026% 93.08%      0.79s  2.08%  runtime.(*mcache).nextFree.func1
     0.01s 0.026% 93.10%      0.38s  1.00%  runtime.goschedImpl
     0.01s 0.026% 93.13%      2.27s  5.98%  runtime.park_m
     0.01s 0.026% 93.15%      0.35s  0.92%  runtime.semasleep
         0     0% 93.15%      0.65s  1.71%  github.com/Scalu/sortablechallenge/binaryTree.TestSort40kOfRandomData
         0     0% 93.15%      0.65s  1.71%  github.com/Scalu/sortablechallenge/binaryTree.runRandomTest
         0     0% 93.15%      0.65s  1.71%  github.com/Scalu/sortablechallenge/binaryTree.runTest
         0     0% 93.15%      1.17s  3.08%  github.com/Scalu/sortablechallenge/binaryTree.runTest.func5
         0     0% 93.15%      0.40s  1.05%  runtime.(*mcentral).grow
         0     0% 93.15%      0.36s  0.95%  runtime.(*mheap).alloc
         0     0% 93.15%      0.22s  0.58%  runtime.(*mheap).alloc.func1
         0     0% 93.15%      0.77s  2.03%  runtime._System
         0     0% 93.15%      0.45s  1.18%  runtime.chanrecv2
         0     0% 93.15%      0.57s  1.50%  runtime.chansend1
         0     0% 93.15%      1.89s  4.98%  runtime.gcAssistAlloc.func1
         0     0% 93.15%      1.89s  4.98%  runtime.gcAssistAlloc1
         0     0% 93.15%      2.39s  6.29%  runtime.gcBgMarkWorker.func2
         0     0% 93.15%     27.32s 71.93%  runtime.goexit
         0     0% 93.15%      0.24s  0.63%  runtime.gopreempt_m
         0     0% 93.15%      0.28s  0.74%  runtime.gosweepone.func1
         0     0% 93.15%      0.29s  0.76%  runtime.morestack
         0     0% 93.15%      0.29s  0.76%  runtime.newstack
         0     0% 93.15%      7.16s 18.85%  runtime.startTheWorldWithSema
         0     0% 93.15%      1.68s  4.42%  sync.runtime_doSpin
         0     0% 93.15%      0.65s  1.71%  testing.tRunner
